Q_NAME;Description;Option_Num;Option_Text
DEVICETYPE;Device used for survey completion;1;PC/laptop/Large screen device (e.g., TV etc.)
DEVICETYPE;Device used for survey completion;2;IPhone/iPod
DEVICETYPE;Device used for survey completion;4;Android smart phones
DEVICETYPE;Device used for survey completion;6;Other smart phone (smart phones, that is not iOS/Android/Windows mobile)
DEVICETYPE;Device used for survey completion;8;Generic phones (e.g., older version of Nokia, Blackberry, etc.)
DEVICETYPE;Device used for survey completion;15;Android phone (no support for touch)
Q1;Q1. How religious do you consider yourself to be? (Please select one.);1;Not at all religious
Q1;Q1. How religious do you consider yourself to be? (Please select one.);2;Not too religious
Q1;Q1. How religious do you consider yourself to be? (Please select one.);3;Somewhat religious
Q1;Q1. How religious do you consider yourself to be? (Please select one.);4;Very religious
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);1;Never
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);2;Only on special occasions (i.e., weddings, funerals, holidays)
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);3;Less than once a year
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);4;Once or twice a year
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);5;Several times a year
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);6;Once a month
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);7;Two to three times a month
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);8;Weekly
Q2;Q2. How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one.);9;Several times a week
Q3;Q3. Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one.);1;The Bible means exactly what it says.  It should be taken literally, word-for-word, on all subjects.
Q3;Q3. Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one.);2;The Bible is perfectly true, but it should not be taken literally, word-for-word. We must interpret its meaning.
Q3;Q3. Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one.);3;The Bible contains some human error.
Q3;Q3. Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one.);4;The Bible is an ancient book of history and legends.
Q3;Q3. Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one.);5;I don't know
Q4;Q4. How would you describe yourself politically? (Please select one.);-1;Web blank
Q4;Q4. How would you describe yourself politically? (Please select one.);1;Extremely conservative
Q4;Q4. How would you describe yourself politically? (Please select one.);2;Conservative
Q4;Q4. How would you describe yourself politically? (Please select one.);3;Leaning conservative
Q4;Q4. How would you describe yourself politically? (Please select one.);4;Moderate
Q4;Q4. How would you describe yourself politically? (Please select one.);5;Leaning liberal
Q4;Q4. How would you describe yourself politically? (Please select one.);6;Liberal
Q4;Q4. How would you describe yourself politically? (Please select one.);7;Extremely liberal
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);-1;Web blank
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);1;Strong Republican
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);2;Moderate Republican
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);3;Leaning Republican
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);4;Independent
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);5;Leaning Democrat
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);6;Moderate Democrat
Q5;Q5. Do you think of yourself as Republican, Democrat or Independent? (Please select one.);7;Strong Democrat
Q6;Q6. Who did you vote for in the 2020 Presidential election?;1;Donald Trump, the Republican nominee
Q6;Q6. Who did you vote for in the 2020 Presidential election?;2;Joseph Biden, the Democratic nominee
Q6;Q6. Who did you vote for in the 2020 Presidential election?;3;Someone else
Q6;Q6. Who did you vote for in the 2020 Presidential election?;4;Did not vote
Q9A;Q9a. How often do you...? (Please select one response for each.) a. Read a local newspaper from your hometown?;1;Every day
Q9A;Q9a. How often do you...? (Please select one response for each.) a. Read a local newspaper from your hometown?;2;Most days
Q9A;Q9a. How often do you...? (Please select one response for each.) a. Read a local newspaper from your hometown?;3;Once or twice a week
Q9A;Q9a. How often do you...? (Please select one response for each.) a. Read a local newspaper from your hometown?;4;Once or twice a month
Q9A;Q9a. How often do you...? (Please select one response for each.) a. Read a local newspaper from your hometown?;5;Less than once a month but at least once a year
Q9A;Q9a. How often do you...? (Please select one response for each.) a. Read a local newspaper from your hometown?;6;Never
Q9B;Q9b. How often do you...? (Please select one response for each.) b. Read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times?;1;Every day
Q9B;Q9b. How often do you...? (Please select one response for each.) b. Read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times?;2;Most days
Q9B;Q9b. How often do you...? (Please select one response for each.) b. Read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times?;3;Once or twice a week
Q9B;Q9b. How often do you...? (Please select one response for each.) b. Read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times?;4;Once or twice a month
Q9B;Q9b. How often do you...? (Please select one response for each.) b. Read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times?;5;Less than once a month but at least once a year
Q9B;Q9b. How often do you...? (Please select one response for each.) b. Read a national newspaper such as USA Today, The Wall Street Journal, or The New York Times?;6;Never
Q9C;Q9c. How often do you...? (Please select one response for each.) c. Read online news websites?;1;Every day
Q9C;Q9c. How often do you...? (Please select one response for each.) c. Read online news websites?;2;Most days
Q9C;Q9c. How often do you...? (Please select one response for each.) c. Read online news websites?;3;Once or twice a week
Q9C;Q9c. How often do you...? (Please select one response for each.) c. Read online news websites?;4;Once or twice a month
Q9C;Q9c. How often do you...? (Please select one response for each.) c. Read online news websites?;5;Less than once a month but at least once a year
Q9C;Q9c. How often do you...? (Please select one response for each.) c. Read online news websites?;6;Never
Q9D;Q9d. How often do you...? (Please select one response for each.) d. Watch the national nightly network news?;1;Every day
Q9D;Q9d. How often do you...? (Please select one response for each.) d. Watch the national nightly network news?;2;Most days
Q9D;Q9d. How often do you...? (Please select one response for each.) d. Watch the national nightly network news?;3;Once or twice a week
