Q_NAME,Description,Option_Num,Option_Text
Q1,"What is your religious preference, if any?",-1,Refused
Q1,"What is your religious preference, if any?",1,Protestant
Q1,"What is your religious preference, if any?",2,Catholic
Q1,"What is your religious preference, if any?",3,Christian (neither Protestant nor Catholic)
Q1,"What is your religious preference, if any?",4,Jewish
Q1,"What is your religious preference, if any?",5,Muslim/Islam
Q1,"What is your religious preference, if any?",6,Buddhist
Q1,"What is your religious preference, if any?",7,Hindu
Q1,"What is your religious preference, if any?",8,Other Eastern religion
Q1,"What is your religious preference, if any?",9,"Other, please specify"
Q1,"What is your religious preference, if any?",10,None
Q2,How religious do you consider yourself to be?,-1,Refused
Q2,How religious do you consider yourself to be?,1,Not at all religious
Q2,How religious do you consider yourself to be?,2,Not too religious
Q2,How religious do you consider yourself to be?,3,Somewhat religious
Q2,How religious do you consider yourself to be?,4,Very religious
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",-1,Refused
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",1,Never
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",2,Less than once a year
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",3,Once or twice a year
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",4,Several times a year
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",5,Once a month
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",6,Two to three times a month
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",7,Weekly
Q3,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",8,Several times a week
Q4,Which one statement comes closest to your personal beliefs about the Christian Bible?,-1,Refused
Q4,Which one statement comes closest to your personal beliefs about the Christian Bible?,1,"The Bible means exactly what it says. It should be taken literally, word-for-word, on all subjects"
Q4,Which one statement comes closest to your personal beliefs about the Christian Bible?,2,"The Bible is perfectly true, but it should not be taken literally, word-for-word. We must interpret its meaning"
Q4,Which one statement comes closest to your personal beliefs about the Christian Bible?,3,The Bible contains some human error
Q4,Which one statement comes closest to your personal beliefs about the Christian Bible?,4,The Bible is an ancient book of history and legends
Q4,Which one statement comes closest to your personal beliefs about the Christian Bible?,5,I don't know
Q5,Which one statement comes closest to your personal beliefs about God?,-1,Refused
Q5,Which one statement comes closest to your personal beliefs about God?,1,I have no doubts that God exists
Q5,Which one statement comes closest to your personal beliefs about God?,2,"I believe in God, but with some doubts"
Q5,Which one statement comes closest to your personal beliefs about God?,3,I sometimes believe in God
Q5,Which one statement comes closest to your personal beliefs about God?,4,I believe in a higher power or cosmic force
Q5,Which one statement comes closest to your personal beliefs about God?,5,I don't believe in anything beyond the physical world
Q5,Which one statement comes closest to your personal beliefs about God?,6,I have no opinion
Q6,How would you describe yourself politically?,-1,Refused
Q6,How would you describe yourself politically?,1,Extremely conservative
Q6,How would you describe yourself politically?,2,Conservative
Q6,How would you describe yourself politically?,3,Leaning conservative
Q6,How would you describe yourself politically?,4,Moderate
Q6,How would you describe yourself politically?,5,Leaning liberal
Q6,How would you describe yourself politically?,6,Liberal
Q6,How would you describe yourself politically?,7,Extremely liberal
Q7,"Do you think of yourself as Republican, Democrat or Independent?",-1,Refused
Q7,"Do you think of yourself as Republican, Democrat or Independent?",1,Strong Republican
Q7,"Do you think of yourself as Republican, Democrat or Independent?",2,Moderate Republican
Q7,"Do you think of yourself as Republican, Democrat or Independent?",3,Leaning Republican
Q7,"Do you think of yourself as Republican, Democrat or Independent?",4,Independent
Q7,"Do you think of yourself as Republican, Democrat or Independent?",5,Leaning Democrat
Q7,"Do you think of yourself as Republican, Democrat or Independent?",6,Moderate Democrat
Q7,"Do you think of yourself as Republican, Democrat or Independent?",7,Strong Democrat
Q8_1,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",-1,Refused
Q8_1,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",1,Strongly agree
Q8_1,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",2,Agree
Q8_1,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",3,Disagree
Q8_1,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",4,Strongly disagree
