Q_NAME,Description,Option_Num,Option_Text
QN1,How religious do you consider yourself to be? (Please select one),1,Not at all religious
QN1,How religious do you consider yourself to be? (Please select one),2,Not too religious
QN1,How religious do you consider yourself to be? (Please select one),3,Somewhat religious
QN1,How religious do you consider yourself to be? (Please select one),4,Very religious
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",1,Never
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",2,"Only on special occasions (i.e., weddings, funerals, holidays)"
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",3,Less than once a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",4,Once or twice a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",5,Several times a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",6,Once a month
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",7,Two to three times a month
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",8,Weekly
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship? (Please select one)",9,Several times a week
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one),1,"The Bible means exactly what it says. It should be taken literally, word-for-word, on all subjects."
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one),2,"The Bible is perfectly true, but it should not be taken literally, word-for-word. We must interpret its meaning."
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one),3,The Bible contains some human error.
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one),4,The Bible is an ancient book of history and legends.
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible? (Please select one),5,I don't know
QN4,Which of the followings comes CLOSEST to your beliefs about God? (Please select one),1,I believe in God with no doubts
QN4,Which of the followings comes CLOSEST to your beliefs about God? (Please select one),2,"I believe in God, but with doubts"
QN4,Which of the followings comes CLOSEST to your beliefs about God? (Please select one),3,I believe in a higher power or cosmic force
QN4,Which of the followings comes CLOSEST to your beliefs about God? (Please select one),4,I don't know if there's a God
QN4,Which of the followings comes CLOSEST to your beliefs about God? (Please select one),5,I don't believe in God
QN5A,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) I believe God is a 'He.'",1,Strongly agree
QN5A,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) I believe God is a 'He.'",2,Agree
QN5A,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) I believe God is a 'He.'",3,Disagree
QN5A,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) I believe God is a 'He.'",4,Strongly disagree
QN5B,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) God favors the United States in global affairs.",1,Strongly agree
QN5B,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) God favors the United States in global affairs.",2,Agree
QN5B,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) God favors the United States in global affairs.",3,Disagree
QN5B,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) God favors the United States in global affairs.",4,Strongly disagree
QN5C,"[ITEMS A-D ASK IF BELIEVE IN GOD (Q4=1, 2); ITEMS E-H ASK ALL] Please indicate your level of agreement with the following statements: (Please select one response for each) The success of the United States is part of God's plan.",1,Strongly agree
