Q_NAME,Description,Option_Num,Option_Text
QN1,How religious do you consider yourself to be?,1,Not at all religious
QN1,How religious do you consider yourself to be?,2,Not too religious
QN1,How religious do you consider yourself to be?,3,Somewhat religious
QN1,How religious do you consider yourself to be?,4,Very religious
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",1,Never
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",2,"Only on special occasions (i.e., weddings, funerals, holidays)"
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",3,Less than once a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",4,Once or twice a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",5,Several times a year
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",6,Once a month
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",7,Two to three times a month
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",8,Weekly
QN2,"How often do you attend religious services at a church, mosque, synagogue or other place of worship?",9,Several times a week
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,1,"The Bible means exactly what it says. It should be taken literally, word-for-word, on all subjects"
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,2,"The Bible is perfectly true, but it should not be taken literally, word-for-word. We must interpret its meaning"
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,3,The Bible contains some human error
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,4,The Bible is an ancient book of history and legends
QN3,Which one statement comes closest to your personal beliefs about the Christian Bible?,5,I don't know
QN4,How would you describe yourself politically?,1,Extremely conservative
QN4,How would you describe yourself politically?,2,Conservative
QN4,How would you describe yourself politically?,3,Leaning conservative
QN4,How would you describe yourself politically?,4,Moderate
QN4,How would you describe yourself politically?,5,Leaning liberal
QN4,How would you describe yourself politically?,6,Liberal
QN4,How would you describe yourself politically?,7,Extremely liberal
QN5,"Do you think of yourself as Republican, Democrat or Independent?",1,Strong Republican
QN5,"Do you think of yourself as Republican, Democrat or Independent?",2,Moderate Republican
QN5,"Do you think of yourself as Republican, Democrat or Independent?",3,Leaning Republican
QN5,"Do you think of yourself as Republican, Democrat or Independent?",4,Independent
QN5,"Do you think of yourself as Republican, Democrat or Independent?",5,Leaning Democrat
QN5,"Do you think of yourself as Republican, Democrat or Independent?",6,Moderate Democrat
QN5,"Do you think of yourself as Republican, Democrat or Independent?",7,Strong Democrat
QN6A,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",-1,Blank
QN6A,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",1,Strongly agree
QN6A,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",2,Agree
QN6A,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",3,Disagree
QN6A,"How strongly do you agree or disagree with the following statements? If I ran out of gas on the road, I would feel safe asking a stranger for help",4,Strongly disagree
QN6B,"How strongly do you agree or disagree with the following statements? If a stranger ran out of gas on the road, I would feel safe giving them help",-1,Blank
QN6B,"How strongly do you agree or disagree with the following statements? If a stranger ran out of gas on the road, I would feel safe giving them help",1,Strongly agree
QN6B,"How strongly do you agree or disagree with the following statements? If a stranger ran out of gas on the road, I would feel safe giving them help",2,Agree
QN6B,"How strongly do you agree or disagree with the following statements? If a stranger ran out of gas on the road, I would feel safe giving them help",3,Disagree
QN6B,"How strongly do you agree or disagree with the following statements? If a stranger ran out of gas on the road, I would feel safe giving them help",4,Strongly disagree
QN6C,How strongly do you agree or disagree with the following statements? I would feel comfortable helping my neighbors or asking for help during a disaster or an emergency,-1,Blank
QN6C,How strongly do you agree or disagree with the following statements? I would feel comfortable helping my neighbors or asking for help during a disaster or an emergency,1,Strongly agree
QN6C,How strongly do you agree or disagree with the following statements? I would feel comfortable helping my neighbors or asking for help during a disaster or an emergency,2,Agree
QN6C,How strongly do you agree or disagree with the following statements? I would feel comfortable helping my neighbors or asking for help during a disaster or an emergency,3,Disagree
QN6C,How strongly do you agree or disagree with the following statements? I would feel comfortable helping my neighbors or asking for help during a disaster or an emergency,4,Strongly disagree
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,-1,Blank
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,1,Yes
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,2,No
QN7A,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a property crime (stolen property)?,8,Don't know
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7A; *GEN IN QN7A NO] Have you been the victim of a property crime (stolen property) in the last five years?,-1,Blank
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7A; *GEN IN QN7A NO] Have you been the victim of a property crime (stolen property) in the last five years?,1,Yes
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7A; *GEN IN QN7A NO] Have you been the victim of a property crime (stolen property) in the last five years?,2,No
QN7B,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7A; *GEN IN QN7A NO] Have you been the victim of a property crime (stolen property) in the last five years?,8,Don't know
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,-1,Blank
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,1,Yes
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,2,No
QN7C,Please indicate if you or a close friend/family member have been the victim of the following crimes? Have you ever been the victim of a violent crime?,8,Don't know
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7C; *GEN IN QN7C NO] Have you been the victim of a violent crime in the last five years?,-1,Blank
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7C; *GEN IN QN7C NO] Have you been the victim of a violent crime in the last five years?,1,Yes
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7C; *GEN IN QN7C NO] Have you been the victim of a violent crime in the last five years?,2,No
QN7D,Please indicate if you or a close friend/family member have been the victim of the following crimes? [ASK IF YES/DON'T KNOW TO QN7C; *GEN IN QN7C NO] Have you been the victim of a violent crime in the last five years?,8,Don't know
QN7E,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,-1,Blank
QN7E,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,1,Yes
QN7E,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,2,No
QN7E,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a property crime?,8,Don't know
QN7F,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,-1,Blank
QN7F,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,1,Yes
QN7F,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,2,No
QN7F,Please indicate if you or a close friend/family member have been the victim of the following crimes? Has a close friend or family member ever been the victim of a violent crime?,8,Don't know
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),-1,Blank
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),1,Every day
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),2,Most days
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),3,Once or twice a week
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),4,Once or twice a month
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),5,Less than once a month but at least once a year
QN8A,How often do you read a local newspaper from your home town? (In print or the digital version),6,Never
QN8B,"How often do you read a national newspaper, such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",1,Every day
QN8B,"How often do you read a national newspaper, such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",2,Most days
QN8B,"How often do you read a national newspaper, such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",3,Once or twice a week
QN8B,"How often do you read a national newspaper, such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",4,Once or twice a month
QN8B,"How often do you read a national newspaper, such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",5,Less than once a month but at least once a year
QN8B,"How often do you read a national newspaper, such as USA Today, The Wall Street Journal, or The New York Times? (In print or the digital version, app, etc.)",6,Never
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",1,Every day
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",2,Most days
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",3,Once or twice a week
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",4,Once or twice a month
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",5,Less than once a month but at least once a year
QN8C,"How often do you watch the national nightly network news (such as World News Tonight, CBS Evening News)?",6,Never
QN8D,How often do you watch Fox News?,-1,Blank
QN8D,How often do you watch Fox News?,1,Every day
QN8D,How often do you watch Fox News?,2,Most days
QN8D,How often do you watch Fox News?,3,Once or twice a week
QN8D,How often do you watch Fox News?,4,Once or twice a month
QN8D,How often do you watch Fox News?,5,Less than once a month but at least once a year
QN8D,How often do you watch Fox News?,6,Never
QN8E,How often do you watch CNN?,-1,Blank
QN8E,How often do you watch CNN?,1,Every day
QN8E,How often do you watch CNN?,2,Most days
QN8E,How often do you watch CNN?,3,Once or twice a week
QN8E,How often do you watch CNN?,4,Once or twice a month
QN8E,How often do you watch CNN?,5,Less than once a month but at least once a year
QN8E,How often do you watch CNN?,6,Never
QN8F,How often do you watch MSNBC?,-1,Blank
QN8F,How often do you watch MSNBC?,1,Every day
QN8F,How often do you watch MSNBC?,2,Most days
QN8F,How often do you watch MSNBC?,3,Once or twice a week
QN8F,How often do you watch MSNBC?,4,Once or twice a month
QN8F,How often do you watch MSNBC?,5,Less than once a month but at least once a year
QN8F,How often do you watch MSNBC?,6,Never
QN8G,How often do you watch the local TV news to learn about your area?,-1,Blank
QN8G,How often do you watch the local TV news to learn about your area?,1,Every day
QN8G,How often do you watch the local TV news to learn about your area?,2,Most days
QN8G,How often do you watch the local TV news to learn about your area?,3,Once or twice a week
QN8G,How often do you watch the local TV news to learn about your area?,4,Once or twice a month
QN8G,How often do you watch the local TV news to learn about your area?,5,Less than once a month but at least once a year
QN8G,How often do you watch the local TV news to learn about your area?,6,Never
QN8H,How often do you listen to a talk radio show that discusses politics?,-1,Blank
QN8H,How often do you listen to a talk radio show that discusses politics?,1,Every day
QN8H,How often do you listen to a talk radio show that discusses politics?,2,Most days
QN8H,How often do you listen to a talk radio show that discusses politics?,3,Once or twice a week
QN8H,How often do you listen to a talk radio show that discusses politics?,4,Once or twice a month
QN8H,How often do you listen to a talk radio show that discusses politics?,5,Less than once a month but at least once a year
QN8H,How often do you listen to a talk radio show that discusses politics?,6,Never
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,-1,Blank
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,1,Every day
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,2,Most days
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,3,Once or twice a week
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,4,Once or twice a month
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,5,Less than once a month but at least once a year
QN8I,How often do you read online news websites (such as Yahoo! News or Google)?,6,Never
QN8J,"How often do you get news from social media (e.g., Twitter)?",-1,Blank
QN8J,"How often do you get news from social media (e.g., Twitter)?",1,Every day
QN8J,"How often do you get news from social media (e.g., Twitter)?",2,Most days
QN8J,"How often do you get news from social media (e.g., Twitter)?",3,Once or twice a week
QN8J,"How often do you get news from social media (e.g., Twitter)?",4,Once or twice a month
QN8J,"How often do you get news from social media (e.g., Twitter)?",5,Less than once a month but at least once a year
QN8J,"How often do you get news from social media (e.g., Twitter)?",6,Never
